Time,Source,Destination,Protocol,Length,Info,Label
0,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.000588,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.000745,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.001275,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.002002,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.003127,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.003178,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.004542,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.004571,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.004594,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.005827,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.013105,10.10.1.198,172.217.194.95,TLSv1.2,14068,Ignored Unknown Record,Serangan
0.013683,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.014093,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.014398,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.015073,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.015483,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.015769,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.016369,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.016985,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.01746,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.017936,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.018492,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.019093,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.019667,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.020158,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.020746,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.02135,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.021765,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.021846,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.022369,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.02293,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.02347,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.02411,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.024547,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.025113,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.025636,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.026425,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.026842,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.027262,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.027871,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Change Cipher Spec, Ignored Unknown Record",Serangan
0.028373,10.10.1.198,172.217.194.95,TLSv1.2,64468,Ignored Unknown Record,Serangan
0.028911,10.10.1.198,172.217.194.95,TLSv1.2,41920,Ignored Unknown Record,Serangan
0.029491,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data",Non-Serangan
0.030049,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.030391,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.030907,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.031466,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.032031,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.032548,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.033183,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.033643,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.03424,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.035357,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.03538,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.035993,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.037461,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data",Non-Serangan
0.037484,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.037832,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.038104,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.038757,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.038787,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.039188,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.039749,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.040255,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.041376,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.041952,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.042442,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.042977,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.04356,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data",Non-Serangan
0.0441,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.044712,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.045385,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.045775,10.10.1.198,172.217.194.95,TLSv1.2,64468,"Application Data, Application Data, Application Data, Application Data",Non-Serangan
0.052655,10.10.1.198,172.217.194.95,TLSv1.2,5200,Application Data,Non-Serangan
0.052701,10.10.1.198,172.217.194.95,TLSv1.2,16474,Application Data,Non-Serangan
0.052788,10.10.1.198,172.217.194.95,TLSv1.2,32880,"Application Data, Application Data",Non-Serangan
