created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Wed Oct 18 08:54:33 +0000 2023,1.71E+23,Ganjar siap mendukung disabilitas menuju mandiri dan keberhasilan.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/oyYEPLDZTd,0,0,1,1,in,1.67E+23,1.71E+23,RamadhaniS79203,https://twitter.com/RamadhaniS79203/status/1714565619121902021
Wed Oct 18 08:54:12 +0000 2023,1.71E+23,Ganjar menilai BEM sangat kritis dan peduli terhadap sesama.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/rAvHmlJK51,0,0,1,2,in,1.67E+23,1.71E+23,ShareenP97128,https://twitter.com/ShareenP97128/status/1714565532031300089
Wed Oct 18 08:53:50 +0000 2023,1.71E+23,"Wahh viral lagi vidio lama pak Mahfud MD yang ngusir penggugat di ruang sidang, tapii emang beliau sangat dikenal dengan tegasnya dalam berkerja👍 hihi serem ya tapi gpp pak demi keadilan hukum Indonesia!  #poltik #pilpres2024 #mahfudmd #ganjarmahfud2024 https://t.co/oyCHhfyHN2",0,0,0,0,in,1.69E+23,1.71E+23,Rivamelodyy03,https://twitter.com/Rivamelodyy03/status/1714565437483348348
Wed Oct 18 08:53:50 +0000 2023,1.71E+23,udah basi om...dah ada #GanjarMahfud2024 😍,0,0,0,0,in,230397182,1.71E+23,Adek_Sanusi,https://twitter.com/Adek_Sanusi/status/1714565440675143798
Wed Oct 18 08:53:49 +0000 2023,1.71E+23,Yang  345 Triliun ada kabarnya Pak  mahfud.... 😀😀 #GanjarMahfud2024,0,0,0,0,in,9.88E+22,1.71E+23,Mujaddid2024,https://twitter.com/Mujaddid2024/status/1714565437156168048
Wed Oct 18 08:53:41 +0000 2023,1.71E+23,Mahfud Ganjar auranya adem mimpin bangsa ini mah !  #GanjarMahfud2024 #pilpres2024 #bandung #BreakingNews  #GanjarPranowo #GanjarPresiden #MahfudMD https://t.co/HdO38I3esm,0,0,0,0,in,1.64E+23,1.71E+23,matahariptrr,https://twitter.com/matahariptrr/status/1714565400053354868
Wed Oct 18 08:53:38 +0000 2023,1.71E+23,@janenuby semoga sukses untuk keduanya #GanjarMahfud2024,0,0,0,0,in,1.45E+23,1.71E+23,_your24for7,https://twitter.com/_your24for7/status/1714565390666518720
Wed Oct 18 08:53:33 +0000 2023,1.71E+23,"Ganjar berdiskusi dengan mahasiswa dari pendidikan, hukum, olahraga, hingga politik.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/8fCS4yHauP",0,0,1,2,in,1.67E+23,1.71E+23,fakira75113,https://twitter.com/fakira75113/status/1714565367421604239
Wed Oct 18 08:53:14 +0000 2023,1.71E+23,Ganjar mengajak mahasiswa Malang Raya untuk terjun ke politik.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/6umCZhKCHN,0,0,1,1,in,1.67E+23,1.71E+23,EimanGamil29263,https://twitter.com/EimanGamil29263/status/1714565289860567447
Wed Oct 18 08:53:13 +0000 2023,1.71E+23,Isi pidato lengkap Mahfud MD usai ditunjuk sebagai cawapres Ganjar Pranowo  #MahfudMD  #GanjarMahfud2024  #GanjarMahfud   https://t.co/y7MjWL1WoK,0,0,0,0,in,155933590,1.71E+23,gwhaybro,https://twitter.com/gwhaybro/status/1714565282734502328
Wed Oct 18 08:53:09 +0000 2023,1.71E+23,Pak @Ganjarpranowo dipasangkan dengan @mohmahfudmd paten kaali! Ada lah yaa  wewenang Mahfud MD nantinya buat acak-acak kandang koruptor!! Berantas orang paok yang masih korupsi #GanjarMahfud2024  Pesta Rakyat Jakarta Pecah Sandiaga Uno GAMA Pasangan Hitam Madura Mamat Sarah https://t.co/m4KlQi8KSZ,0,0,0,0,in,1.64E+22,1.71E+23,Saaniko_,https://twitter.com/Saaniko_/status/1714565265747558446
